Ref,Val,Package,PosX,PosY,Rot,Side
"C1","330n","C_0805_2012Metric",45.550000,68.050000,-90.000000,top
"C2","100n","C_0805_2012Metric",39.250000,71.750000,0.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",5.000000,80.000000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",60.000000,80.000000,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",60.000000,5.000000,0.000000,top
"JCNTL1","SHF-105-01-L-D-RA","SAMTEC_SHF-105-01-L-D-RA",57.500000,58.000000,-90.000000,top
"JCNTL2","SHF-105-01-L-D-RA","SAMTEC_SHF-105-01-L-D-RA",57.500000,32.000000,-90.000000,top
"JS2","Conn_01x02","PinHeader_1x02_P1.00mm_Vertical",52.000000,45.000000,0.000000,top
"LP1","LTST-C190KGKT","LEDC1608X80N",42.750000,81.400000,180.000000,top
"Q1","IRF4905PBF","TO254P469X1042X1967-3P",50.500000,63.920000,90.000000,top
"Q2","DMG2301L","DMG2301L",8.200000,41.050000,180.000000,top
"QD1","2N7002K","SOT-23",36.000000,54.600000,0.000000,top
"QD2","2N7002K","SOT-23",36.000000,51.150000,0.000000,top
"QD3","2N7002K","SOT-23",36.000000,47.700000,0.000000,top
"QD4","2N7002K","SOT-23",36.000000,44.250000,0.000000,top
"QD5","2N7002K","SOT-23",25.500000,21.650000,0.000000,top
"QD6","2N7002K","SOT-23",25.500000,25.100000,0.000000,top
"QD7","2N7002K","SOT-23",25.500000,28.550000,0.000000,top
"QD8","2N7002K","SOT-23",25.500000,32.000000,0.000000,top
"REG1","LM7805","SOT230P700X180-4N",40.600000,65.850000,-90.000000,top
"RL1","270","R_0603_1608Metric",41.950000,75.975000,90.000000,top
"RP1","100k","R_0805_2012Metric",55.850000,67.710000,90.000000,top
"RS1","270","R_0603_1608Metric",53.000000,59.270000,0.000000,top
"RS2","270","R_0603_1608Metric",49.500000,58.000000,0.000000,top
"RS3","270","R_0603_1608Metric",53.000000,56.730000,0.000000,top
"RS4","270","R_0603_1608Metric",49.500000,55.460000,180.000000,top
"RS5","270","R_0603_1608Metric",49.500000,30.730000,0.000000,top
"RS6","270","R_0603_1608Metric",53.000000,32.000000,0.000000,top
"RS7","270","R_0603_1608Metric",49.500000,33.270000,0.000000,top
"RS8","270","R_0603_1608Metric",53.000000,34.540000,0.000000,top
"S1","193-8MS","1938MS",38.490000,7.650000,0.000000,top
"U1","RaspberryPi-PicoW","Raspberry_Pi_Pico_THT",30.000000,40.100000,180.000000,top
"ZD1","+10v Zener Diode","BZD27C10P-M3-08",53.550000,67.550000,-90.000000,top
